address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
3025 W. Edinger Avenue (Ward 1),"Haphan Residential is applying to construct an 18-unit multi-family residential project on two existing parcels, 1.22 acres in size. The property is in the Two-Family Residence (R-2) zoning district with a Low-Density Residential (LR-7) General Plan land use designation. A general plan amendment to Medium Density Residential (MR-15), variances for increased building height to 3-stories, reduced off-street parking for 60 stalls, reduced front setback of 16 feet, unit configurations and tract map applications are required.",Haphan Residential,,Under Construction,"Updated: October 30th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
918 N. Bewley Street   (Ward 5),"The Richard Lehn Intergenerational Campus is a permanent supportive housing development with two residential buildings for families and seniors and a preschool. The project includes the rehabilitation of two (2) two-story residential buildings into eleven (11) rental units comprising two (2) one-bedroom units, seven (7) two-bedrooms units, and two (2) three-bedroom units. Eight (8) units are restricted to transitional age youth (TAY), two (2) units are for seniors, and one (1) unit for a property manager. An existing preschool building will be renovated and will continue to be a preschool operated by Head Start. At the meeting, we will provide general information as well as answer questions and receive input from the community. This project has been provided a pre-commitment letter by the City Council for $2,021,319 in Homeless Housing, Assistant and Prevention funds, and eight (8) project-base vouchers.",Illumination Foundation Renovation Project,,Building Plan Check,,planning@santa-ana.org,(714) 667-2732,Santa Ana,Cristian Santana — Assistant Planner I
2021 E. 4th Street (Ward 3),"Innovative Housing Opportunities (IHO) and Orange County Community Housing Corporation (OCCHC) are proposing to construct a mixed-use project consisting of 160 affordable housing units and approximately 15,000 square feet of commercial space. The project is comprised of two 4-story buildings with a combination of tucked under parking and surface parking. The project is located within the Metro East Mixed-Use Overlay District and requires approval of a Site Plan application by the Planning Commission.",Innovative Housing Opportunities Mixed-Use Project,,Development Project Review,"Updated: October 11th, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry Guevara — Senior Planner
200 E. First American Way (Ward 6),"Legado at the Met proposes to construct a 278-unit, 6-story (with lofts) multi-family residential development on a currently vacant property on the northeast corner of MacArthur Boulevard and MacArthur Place. The development will consist of studio, one, two and three-bedroom units ranging in size from approximately 612-1,783 sq. ft. The project will contain a four-level (one-level above ground and three levels of subterranean), 617 parking space garage.",Legado at the Met,,Permits Issued,"Update: October 11th, 2023",HJacinto@santa-ana.org,(714) 667-2725,Santa Ana,Heidi Jacinto — Assistant Planner  II
2800 N. Main Street (Ward 3),"The applicant, MainPlace Shoppingtown, LLC, submitted an application in January 2019 for a specific plan to allow up to 1,900 residential units, 400 hotel rooms, 1,400,000 total square feet of commercial space, and up to 750,000 square feet of office space. The project required approval of a zone change to create a new specific plan (SP No. 4), a tentative parcel map (TPM) to subdivide the site into ten (10) legal lots, and an addendum to the original 1983 Environmental Impact Report (EIR). The applicant  also submitted an application for a development agreement (DA).",MainPlace Mall Transformation Project,,Under Construction,"Updated: October 30th, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry C. Guevara — Senior Planner
2101 E. Santa Clara Avenue  (Ward 3),"Applicant is proposing to demolish all residential structures located at 2101 & 2109 E Santa Clara Avenue and construct a new McDonald's restaurant measuring 3,975 square-feet with a drive-through. The project requires discretionary approval of a conditional use permit, amendment application (zone change) and a lot merger.",McDonalds's Drive-Through Restaurant,,Development Project Review,"Updated: October 11th, 2023",PGomez@santa-ana.org,(714) 667-2790,Santa Ana,"Pedro Gomez, AICP — Senior Planner"
301 N. Mountain View Street (Ward 1),"The applicant is proposing to construct an 8-unit condominium development on a 0.74-acre lot located at 301 and 305 North Mountain View Street, Santa Ana. The property is located within the General Agricultural (A-1) zoning district and has a General Plan land use designation of Low-Medium Density Residential (LMR-11). As proposed, the project will require approval of a General Plan Amendment (GPA), an Amendment Application (zone change) and a tract map by the Planning Commission and City Council.",Mountain View Residential Development,,Permits Issued,"Updated: October 30th, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry C. Guevara — Senior Planner
1109 N. Broadway (Ward 5),The applicant is proposing to re-entitle the One Broadway Plaza project to include 14 floors of residential apartments (approximately 327 units) with 23 floors of office and commercial uses. An amendment to the SD-75 zoning document to allow residential uses is required as well as an addendum to the EIR.,One Broadway Plaza,,Building Plan Check,"Updated: April  1, 2021",planning@santa-ana.org,(714) 667-2732,Santa Ana,Planning Division
1221 E. Dyer Road (Ward 6),"Applicant is proposing to demolish two industrial buildings to accommodate three new industrial buildings with new parking, landscaping, and onsite improvements. Building one will be 69,300 square-feet, building two will be 47,300 square-feet, building three will be 59,400 square-feet. This project requires discretionary review and approval by the Planning Commission and City Council for a Zoning Ordinance Amendment (ZOA) to amend Specific Development 63 (SD-63), and General Plan Amendment (GPA) to redesignate the area from General Commercial (GC) to Industrial/Flex - Low (Flex 1.5). This project will be subject to sunshine ordinance meeting requirements.",Park 55 Industrial Redevelopment Project,,Development Project Review,"Updated: October 26, 2023",planning@santa-ana.org,(714) 667-2732,Santa Ana,Cristian Santana — Assistant Planner I
3600 S. Bristol St. (Ward 4),"The applicant proposes a specific plan for a 42-acre site to allow up to 3,750 residential units, up to 350,000 square feet of commercial space, 250 hotel rooms, and 200 senior care units, including 6,520 onsite parking spaces, and 13.1 acres of onsite open space. The site is bounded by Bristol Street to the east, Plaza Drive to the west, Sunflower Avenue to the south, and MacArthur Boulevard to the north. The project requires discretionary approval of a tentative tract map, amendment application (zone change) for a specific plan, development agreement, and inclusionary housing plan. Additional environmental review will also be required.",Related California Bristol Specific Plan,,Development Project Review,"Updated: October 11th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
571 S. Lyon Street (Ward 3),"Applicant is proposing a residential development with 51 townhouse units, 15,028 sq. ft. of open space and 105 parking spaces. The development will consist of twelve residential buildings with three-story townhouse units, with eight units proposed as affordable to low-income households. Application is being submitted as a SB 330 project and seeks incentives/concessions. The project requires a vesting tentative tract map for condominium purposes and a State Density Bonus Agreement for 22.16 du/ac.",Santa Ana Lyon Towns (Formerly Warmington Residential),,Building Plan Check,"Updated: October 30th, 2023",PGomez@santa-ana.org,(714) 667-2790,Santa Ana,"Pedro Gomez, AICP — Senior Planner"
"3100, 3110, 3120 W. Lake Center Drive","The owner of 3100, 3110, and 3120 West Lake Center Drive (APN: 414-261-01, 414-242-09, and 414-272-10) which is located within the Specific Development No. 58 (SD-58) zoning district is proposing to amend SD-58 to include industrial land uses in the list of permissible uses and other related edits to demolish the existing office buildings and construct three new industrial buildings.  The site has a General Plan designation of Industrial (IND). As proposed, the project is discretionary and requires approval of a Development Project application and Amendment Application to amend SD-58.",South Coast Technology Center ,,Development Project Review,"Update: September 25, 2023 ",HJacinto@santa-ana.org,(714) 667-2725,Santa Ana,Heidi Jacinto — Assistant Planner II
200 N. Cabrillo Park Drive (Ward 3),"The Madison is a 6-story mixed use development consisting of five stories of residential and one story of commercial on a vacant 2.79 acre site within the MEMU (Metro East Overlay) planning area. The proposal is to construct 260 residential units including four live/work units, 445 parking spaces, and approximately 6,600 sq. ft. of commercial space.",The Madison,,Entitlement Approved,"Updated: October 11th, 2023",HJacinto@santa-ana.org,(714) 667-2725,Santa Ana,Heidi Jacinto — Assistant Planner II
114 E. 5th Street (Ward 6),Under constructionThe North building is 90% complete. The Main building is 60% with podium area complete - finishing touches.,The Rafferty (Formerly First American Title Company Mixed-Use Development),,Under Construction,"Updated: October 30th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
1561 W. Sunflower Avenue (Ward 4),"South Coast Plaza (Applicant & Property Owner) is proposing a specific plan for a 17.2-acre site to allow up to 1,583 residential units, up to 300,000 square feet of office space, and up to 80,000 square feet of retail space. In addition, the project includes 3,520 on-site parking spaces, 3.63-acres of publicly accessible open space, and 3.27-acres of private amenity spaces. The project requires discretionary approval of an amendment application (zone change) for a specific plan, development agreement, tentative tract map, conditional use permit for alcohol sales, and an inclusionary housing plan by the City Council.",The Village Specific Plan,,Development Project Review,"Updated: November 1st, 2023",planning@santa-ana.org,(714) 667-2732,Santa Ana,
601 N. Fairview Street (Ward 5),"The applicant is proposing to rezone the subject site from Light Industrial (M1) to Specific Development No. 82 (SD-82). The proposal includes the tenant improvement of an existing 5,837 sq. ft. industrial building to be used as an administrative office for Vista Charter School and the repurposing of existing parking to be used as student outdoor learning area. As proposed, the project is discretionary and requires approval of a Development Review Project application, Amendment Application (Zone Change), and modification to the SD-82 text and boundary.",Vista Heritage Development Project,,Development Project Review,"Updated: October 11th, 2023",FArias@santa-ana.org,(714) 667-2792,Santa Ana,Fernanda Arias — Assistant Planner I
2300 S. Red Hill Avenue (Ward 6),"Arrimus Capital, “Applicant”, has submitted an application to redevelop an existing 14.58-acre industrial site currently developed with 3 large-scale industrial, warehousing, office buildings total 212,121 square feet, associated parking areas, and landscaping. The proposed project will demolish the 3 industrial buildings and remove all of the existing improvements, including the landscaping, pavement and parking lot and would redevelop of the entire site with 1,100 multi-family residential units and up to 80,000 square feet of commercial retail and restaurant space. The development would consist of three mixed-use buildings that would be 6-stories in height and one residential building that would be 5-stories in height. Each of these buildings would have an adjacent parking structure. Two parking structures would provide 7-levels of above ground parking and two parking structures would provide 6-levels of above ground parking. In addition, the Project would develop two one-story retail/restaurant commercial buildings and a surface parking lot along Redhill Avenue. The main vehicular access to the project site and parking facilities would be from two driveways on Warner Avenue and one driveway on Redhill Avenue.",Warner Redhill Mixed-Use Development (Formerly the Bowery),,Under Construction,"Updated: October 30th, 2021",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Project Manager: Jerry C. Guevara — Senior Planner
